,Marka,Model,EAN,RAM,Flash,SIMM,Kolor,mgsm,source
1454,Sony,Xperia 1,7311271629177,,,,,,
1455,Sony,Xperia 10,7311271627999,,,,,,
1456,Sony,Xperia 10 Plus,7311271626763,,,,,,
1457,Sony,Xperia 10 Plus,7311271626787,,,,,,
1458,Alcatel,3 2019,4894461802244,,,,,,
1459,Alcatel,3 2019,4894461802251,,,,,,
1460,Alcatel,1 2019,4894461816920,,,,,,
1461,Alcatel,1 2019,4894461816913,,,,,,
1462,MaxCom,Strong MM917,5908235974545,,,,,,
1463,Huawei,Mate 20 Dual SIM,6901443262564,,,,,,
1464,Huawei,Mate 20 Dual SIM,6901443262557,,,,,,
1465,Huawei,Mate 20 Dual SIM,6901443262540,,,,,,
1466,Samsung,Galaxy A40 Dual SIM,8801643826413,,,,,,
1467,Samsung,Galaxy A40 Dual SIM,8801643826352,,,,,,
1468,Samsung,Galaxy A40 Dual SIM,8801643826185,,,,,,
1469,Samsung,Galaxy A40 Dual SIM,8801643826291,,,,,,
1470,Huawei,P30,6901443284597,,,,,,
1471,Huawei,P30,6901443284603,,,,,,
1472,Huawei,P30,6901443284610,,,,,,
1473,Huawei,P30 Pro,6901443292523,,,,,,
1474,Huawei,P30 Pro,6901443284672,,,,,,
1475,Huawei,P30 Pro,6901443284658,,,,,,
1476,Huawei,P30 Pro,6901443292530,,,,,,
1477,Huawei,P30 Pro,6901443284665,,,,,,
1478,Huawei,P30 Pro,6901443292578,,,,,,
1479,Huawei,P30 Pro,6901443292561,,,,,,
1480,Huawei,P30 Pro,6901443292554,,,,,,
1481,Huawei,P30 Pro,6901443346547,,,,,,
1482,Samsung,Galaxy A70,8801643829766,,,,,,
1483,Samsung,Galaxy A70,8801643830052,,,,,,
1484,Samsung,Galaxy A70,8801643829636,,,,,,
1485,Samsung,Galaxy A70,8801643830137,,,,,,
1486,Huawei,P30 Lite,6901443285662,,,,,,
1487,Huawei,P30 Lite,6901443285655,,,,,,
1488,Huawei,P30 Lite,6901443285648,,,,,,
1489,Honor,8A,6901443281596,,,,,,
1490,Honor,8A,6901443281602,,,,,,
1491,Honor,8A,6901443281619,,,,,,
1492,Samsung,Galaxy A50 Dual SIM,8801643757182,,,,,,
1493,Samsung,Galaxy A50 Dual SIM,8801643757021,,,,,,
1494,Samsung,Galaxy A50 Dual SIM,8801643757038,,,,,,
1495,Samsung,Galaxy A50 Dual SIM,8801643815820,,,,,,
1496,Hisense,Infinity F27,6941785712358,,,,,,
1497,Archos,Core 62S,690590037649,,,,,,
1498,Oppo,A1k,6944284646599,,,,,,
1499,Oppo,A1k,6944284646605,,,,,,
1500,Redmi,7,6941059620174,,,,,,
1501,Redmi,7,6941059620143,,,,,,
1502,Redmi,7,6941059620167,,,,,,
1503,Redmi,7,6941059620150,,,,,,
1504,Ulefone,Armor 6E,6937748733072,,,,,,
1505,Ulefone,Armor 6E,6937748733089,,,,,,
1506,Doogee,X90,6924351676407,,,,,,
1507,Doogee,X90,6924351676414,,,,,,
1508,Doogee,X90L,6924351678517,,,,,,
1509,Doogee,X90L,6924351678524,,,,,,
1510,Doogee,X90L,6924351678500,,,,,,
1511,Huawei,P Smart Z,6901443319749,,,,,,
1512,Huawei,P Smart Z,6901443303199,,,,,,
1513,Huawei,P Smart Z,6901443303182,,,,,,
1514,Honor,20 Lite,6901443290949,,,,,,
1515,Honor,20 Lite,6901443290925,,,,,,
1516,Honor,20 Lite,6901443290932,,,,,,
1517,OnePlus,7,6921815607922,,,,,,
1518,OnePlus,7 Pro,6921815607373,,,,,,
1519,OnePlus,7 Pro,6921815607380,,,,,,
1520,OnePlus,7 Pro,6921815607397,,,,,,
1521,OnePlus,7 Pro,6921815607403,,,,,,
1522,Motorola,One Vision Dual SIM,723755134386,,,,,,
1523,Motorola,One Vision Dual SIM,723755134409,,,,,,
1524,Asus,ZenFone 6 ZS630KL,4718017315074,,,,,,
1525,Honor,20 Pro,6901443301478,,,,,,
1526,Honor,20 Pro,6901443301461,,,,,,
1527,Honor,20,6901443301454,,,,,,
1528,Honor,20,6901443301447,,,,,,
1529,Samsung,Galaxy A20e Dual SIM,8801643887575,,,,,,
1530,Samsung,Galaxy A20e Dual SIM,8801643887568,,,,,,
1531,Samsung,Galaxy A20e Dual SIM,8801643887599,,,,,,
1532,Samsung,Galaxy A20e Dual SIM,8801643887582,,,,,,
1533,Samsung,Galaxy A80 Dual SIM,8801643977511,,,,,,
1534,Samsung,Galaxy A80 Dual SIM,8801643977481,,,,,,
1535,Samsung,Galaxy A80 Dual SIM,8801643977542,,,,,,
1536,Redmi,7A,6941059625957,,,,,,
1537,Redmi,7A,6941059625926,,,,,,
1538,Redmi,7A,6941059625933,,,,,,
1539,Redmi,7A,6941059625940,,,,,,
1540,Redmi,7A,6941059626879,,,,,,
1541,Doogee,X100,6924351690519,,,,,,
1542,Doogee,X100,6924351690502,,,,,,
1543,Samsung,Galaxy A10 Dual SIM,8801643996529,,,,,,
1544,Samsung,Galaxy A10 Dual SIM,8801643996499,,,,,,
1545,Nokia,2.2,6438409034267,,,,,,
1546,TP-Link,Neffos C7s,6935364087920,,,,,,
1547,Samsung,Galaxy XCover 4S Dual SIM,8801643995379,,,,,,
1548,HTC,Desire 19+,4718487714803,,,,,,
1549,Xiaomi,Mi 9T,6941059624646,,,,,,
1550,Xiaomi,Mi 9T,6941059624639,,,,,,
1551,Xiaomi,Mi 9T,6941059626893,,,,,,
1552,Xiaomi,Mi 9T,6941059624950,,,,,,
1553,Xiaomi,Mi 9T,6941059624622,,,,,,
1554,Xiaomi,Mi 9T,6941059624615,,,,,,
1555,TP-Link,Neffos X20,6935364087678,,,,,,
1556,TP-Link,Neffos X20 Pro,6935364087739,,,,,,
1557,LG,G8S ThinQ Dual SIM,8806087037746,,,,,,
1558,LG,G8S ThinQ Dual SIM,8806087037968,,,,,,
1559,Kruger&Matz,Move 2,5901436808299,,,,,,
1560,NOA,N3,3858892620588,,,,,,
1561,NOA,N3,3858892620595,,,,,,
1562,myPhone,Pocket Pro,5902983607182,,,,,,
1563,Xiaomi,Mi A3,6941059626336,,,,,,
1564,Xiaomi,Mi A3,6941059626343,,,,,,
1565,Xiaomi,Mi A3,6941059626329,,,,,,
1566,Xiaomi,Mi A3,6941059626312,,,,,,
1567,Xiaomi,Mi A3,6941059626305,,,,,,
1568,Xiaomi,Mi A3,6941059626299,,,,,,
1569,myPhone,Maestro+,5902983605911,,,,,,
1570,myPhone,City 2,5902983606017,,,,,,
1571,TP-Link,Neffos C9 Max,6935364087630,,,,,,
1572,TP-Link,Neffos C9 Max,6935364087654,,,,,,
1573,Sencor,Element P004,8590669198122,,,,,,
1574,Samsung,Galaxy Note 10,8806090035852,,,,,,
1575,Samsung,Galaxy Note 10,8806090158674,,,,,,
1576,Samsung,Galaxy Note 10,8806090036026,,,,,,
1577,Samsung,Galaxy Note 10+,8806090033636,,,,,,
1578,Samsung,Galaxy Note 10+,8806090147326,,,,,,
1579,Samsung,Galaxy Note 10+,8806090033490,,,,,,
1580,Samsung,Galaxy Note 10+,8806090147456,,,,,,
1581,Xiaomi,Mi 9T Pro,6941059629474,,,,,,
1582,Xiaomi,Mi 9T Pro,6941059628255,,,,,,
1583,Xiaomi,Mi 9T Pro,6941059628231,,,,,,
1584,Motorola,One Action Dual SIM,723755135154,,,,,,
1585,Motorola,One Action Dual SIM,723755135161,,,,,,
1586,Oppo,Reno 2,6944284649392,,,,,,
1587,Oppo,Reno 2,6944284649408,,,,,,
1588,Samsung,Galaxy A30s Dual SIM,8806090158506,,,,,,
1589,Samsung,Galaxy A30s Dual SIM,8806090158414,,,,,,
1590,Samsung,Galaxy A30s Dual SIM,8806090158360,,,,,,
1591,Oppo,Reno 2Z,6944284649002,,,,,,
1592,Oppo,Reno 2Z,6944284648999,,,,,,
1593,Redmi,Note 8 Pro,6941059634638,,,,,,
1594,Redmi,Note 8 Pro,6941059629641,,,,,,
1595,Redmi,Note 8 Pro,6941059634645,,,,,,
1596,Redmi,Note 8 Pro,6941059629658,,,,,,
1597,myPhone,Prime 4 Lite,5902983606970,,,,,,
1598,Nokia,7.2,6438409037121,,,,,,
1599,Nokia,7.2,6438409037107,,,,,,
1600,Nokia,800 Tough,6438409039590,,,,,,
1601,Nokia,800 Tough,6438409040923,,,,,,
1602,Sony,Xperia 5,7311271630678,,,,,,
1603,Sony,Xperia 5,7311271630654,,,,,,
1604,Motorola,One Zoom,723755135147,,,,,,
1605,Motorola,Moto E6 Plus,723755136915,,,,,,
1606,Motorola,Moto E6 Plus,723755136823,,,,,,
1607,Oppo,A9 2020,6944284649835,,,,,,
1608,Oppo,A9 2020,6944284649842,,,,,,
1609,Ulefone,Armor 3W,6937748733317,,,,,,
1610,Ulefone,Armor 3W,6937748733324,,,,,,
1611,Ulefone,Armor 3WT,6937748733294,,,,,,
1612,Ulefone,Armor 3WT,6937748733300,,,,,,
1613,Apple,iPhone 11,190199227033,,,,,,
1614,Apple,iPhone 11,190199222960,,,,,,
1615,Apple,iPhone 11,190199225923,,,,,,
1616,Apple,iPhone 11,190199225183,,,,,,
1617,Apple,iPhone 11,190199221116,,,,,,
1618,Apple,iPhone 11,190199227408,,,,,,
1619,Apple,iPhone 11,190199226296,,,,,,
1620,Apple,iPhone 11,190199226661,,,,,,
1621,Apple,iPhone 11,190199225558,,,,,,
1622,Apple,iPhone 11,190199224810,,,,,,
1623,Apple,iPhone 11,190199223332,,,,,,
1624,Apple,iPhone 11 Pro,190199390331,,,,,,
1625,Apple,iPhone 11 Pro,190199392038,,,,,,
1626,Apple,iPhone 11 Pro,190199391697,,,,,,
1627,Apple,iPhone 11 Pro,190199390676,,,,,,
1628,Apple,iPhone 11 Pro,190199392373,,,,,,
1629,Apple,iPhone 11 Pro,190199391352,,,,,,
1630,Apple,iPhone 11 Pro,190199391017,,,,,,
1631,Apple,iPhone 11 Pro,190199389991,,,,,,
1632,Apple,iPhone 11 Pro,190199389656,,,,,,
1633,Apple,iPhone 11 Pro,190199388970,,,,,,
1634,Apple,iPhone 11 Pro,190199388635,,,,,,
1635,Apple,iPhone 11 Pro Max,190199383357,,,,,,
1636,Apple,iPhone 11 Pro Max,190199381131,,,,,,
1637,Apple,iPhone 11 Pro Max,190199381506,,,,,,
1638,Apple,iPhone 11 Pro Max,190199382244,,,,,,
1639,Apple,iPhone 11 Pro Max,190199381872,,,,,,
1640,Apple,iPhone 11 Pro Max,190199382619,,,,,,
1641,Apple,iPhone 11 Pro Max,190199383722,,,,,,
1642,Apple,iPhone 11 Pro Max,190199384095,,,,,,
1643,Apple,iPhone 11 Pro Max,190199385207,,,,,,
1644,Oppo,A5 2020,6944284647862,,,,,,
1645,Oppo,A5 2020,6944284647855,,,,,,
1646,Redmi,Note 7,6941059627531,,,,,,
1647,Redmi,8A,6941059630593,,,,,,
1648,Ulefone,Armor Flip,6937748733096,,,,,,
1649,Ulefone,Power 6,6937748733201,,,,,,
1650,Ulefone,Power 6,6937748733119,,,,,,
1651,Ulefone,Power 6,6937748733133,,,,,,
1652,Redmi,Note 8 Pro,6941059629665,,,,,,
1653,Redmi,Note 8 Pro,6941059634621,,,,,,
1654,Motorola,Moto E5 Play,723755127005,,,,,,
1655,Huawei,Y5 2019,6901443297382,,,,,,
1656,Huawei,Y5 2019,6901443297368,,,,,,
1657,Meizu,Note8,6937520051059,,,,,,
1658,Xiaomi,Mi 9T Pro,6941059628248,,,,,,
1659,Apple,iPhone 11,190199223707,,,,,,
1660,Apple,iPhone 11,190199222229,,,,,,
1661,Apple,iPhone 11,190199221482,,,,,,
1662,Apple,iPhone 11 Pro Max,190199384835,,,,,,
1663,Apple,iPhone 11 Pro Max,190199382985,,,,,,
1664,Oppo,Reno Z,6944284645141,,,,,,
1665,Doogee,S60 Lite,5901801903536,,,,,,
1666,Doogee,S55,5901801903604,,,,,,
1667,Doogee,S55,5901801903611,,,,,,
1668,Doogee,S80,5901801903970,,,,,,
1669,Nokia,3.1 Plus,6438409025807,,,,,,
1670,Doogee,Y7,6924351675004,,,,,,
1671,Doogee,S90,6924351690106,,,,,,
1672,Doogee,S90,6924351674205,,,,,,
1673,Doogee,S90,6924351673215,,,,,,
1674,Doogee,S90,6924351673208,,,,,,
1675,Doogee,S90,5901801902461,,,,,,
1676,Doogee,X90,6924351676421,,,,,,
1677,Doogee,X100,6924351690526,,,,,,
1678,Doogee,S40,6924351694715,,,,,,
1679,Nokia,2720 Flip,6438409037299,,,,,,
1680,Nokia,7.2,6438409037114,,,,,,
1681,Nokia,6.2,6438409037756,,,,,,
1682,Apple,iPhone 8 Plus,2900711336437,,,,,,
1683,Apple,iPhone 11 Pro Max,190199384460,,,,,,
1684,Apple,iPhone 11 Pro,190199389311,,,,,,
1685,Apple,iPhone 11,190199221857,,,,,,
1686,Apple,iPhone 11,190199222595,,,,,,
1687,TP-Link,Neffos X20 Pro,6935364087753,,,,,,
1688,Doogee,S40,6924351694708,,,,,,
1689,Oppo,Reno 10x Zoom,6944284642591,,,,,,
1690,Nokia,4.2,6438409029744,,,,,,
1691,Honor,8 Dual SIM,6901443133215,,,,,,
1692,Apple,iPhone 11,190199224070,,,,,,
1693,Apple,iPhone 8,190199292765,,,,,,
1694,Nokia,6.2,6438409037749,,,,,,
1695,Huawei,Mate 10 Pro Dual SIM,6901443199075,,,,,,
1696,Huawei,P Smart Dual SIM,6901443211975,,,,,,
1697,MaxCom,Smart MS571 LTE Strong,5908235974620,,,,,,
1698,Doogee,S90,5901801902478,,,,,,
1699,Apple,iPhone 11,190199224445,,,,,,
1700,Xiaomi,Mi 9 SE,6941059622499,,,,,,
1701,ZTE,Axon 10 Pro,6902176039652,,,,,,
1702,ZTE,Blade A5 2019,6902176039591,,,,,,
1703,ZTE,Blade V10 Vita,6902176039607,,,,,,
1704,Huawei,Nova 5T,6901443346097,,,,,,
1705,Asus,ROG Phone II,4718017421188,,,,,,
1706,MaxCom,MM721,5908235973616,,,,,,
1707,Oppo,Reno 10x Zoom,6944284642607,,,,,,
1708,Redmi,8A,6941059630586,,,,,,
1709,Redmi,8A,6941059630609,,,,,,
1710,Redmi,7,6941059620198,,,,,,
1711,Xiaomi,Mi 9 SE,6941059622345,,,,,,
1712,OnePlus,7,6921815607915,,,,,,
1713,Asus,ZenFone 6 ZS630KL,4718017441612,,,,,,
1714,Sony,Xperia 5,7311271630661,,,,,,
1715,Sony,Xperia 5,7311271630685,,,,,,
1716,Asus,ZenFone 6 ZS630KL,4718017315067,,,,,,
1717,Sony,Xperia 10,7311271627982,,,,,,
1718,Meizu,V8 Pro,6937520050748,,,,,,
1719,Oppo,AX7,6944284635173,,,,,,
1720,Apple,iPhone 8 Plus,190199293908,,,,,,
1721,TP-Link,Neffos C7s,6935364087982,,,,,,
1722,Huawei,Nova 5T,6901443346110,,,,,,
1723,Nokia,105 2019 Dual SIM,6438409035790,,,,,,
1724,TP-Link,Neffos C9s,6935364087586,,,,,,
1725,Nokia,2.1 Dual SIM,6438409019011,1GB,8GB,2,Niebieski-miedziany,https://www.mgsm.pl/pl/katalog/nokia/2.1dualsim/,https://www.euro.com.pl/telefony-komorkowe/nokia-2-1-niebieski-miedziany.bhtml#opis
